"","dfs_adoption_binary","agroecol_perspective_13","crop_type.cacao","influence_nr_frequency","household_shock_recover_capacity","nearest_farmer_adopted","support_provider.cooperatives","perception_associations_effectiveness","num_info_exchange_extension","distance_main_road","human_wellbeing_11","nearest_distance_dfs_km","participation_nr_frequency","numHA_nhlabour_permanent_total","sfs_monoculture_perennial_area","training_participation"
"20231114_IsE",0,4,0,5,3,0,0,2,0,2,4,0.820903775444417,5,0.75,2,0
"20231114_JoA",0,5,0,3,3,0,0,1,0,5,4,21.8466553614706,2,0.181818181818182,10,0
"20231114_PeG",0,4,0,3,3,0,0,2,0,5,4,21.9175890870512,3,0.285714285714286,4,0
"20231114_ReL",0,4,0,4,3,0,0,2,0,0,5,22.1972155176426,3,0.5,4,0
"20231115_EdR",0,4,0,3,1,0,0,1,0,0,5,22.156768339733,3,2,1,0
"20231115_GeL",0,4,0,3,3,0,0,0,0,5,4,20.5083101342805,3,0.888888888888889,2,1
"20231115_GiC",0,4,0,1,4,0,0,0,0,5,4,0.725061891589797,2,0.25,6,0
"20231115_IsC",0,3,0,2,3,0,0,0,2,2,4,0.974620480506287,4,0.315789473684211,8.5,0
"20231115_JoP",0,0,0,2,2,0,0,0,0,0,4,21.0151516343307,2,0.285714285714286,2,0
"20231116_AnJ",0,4,0,4,3,0,0,3,1,0,4,21.8249268016354,4,0.333333333333333,6,1
"20231116_HiC",0,4,0,2,4,0,0,0,0,1,3,0.768228024834682,3,1,3,0
"20231116_JoR",0,4,0,5,3,0,0,1,0,1,5,1.0022744242609,5,1.66666666666667,1,1
"20231116_LiC",0,5,0,4,4,0,0,2,0,2,5,20.3731855515913,3,0.125,8,0
"20231116_LiS",0,5,0,3,3,0,0,1,0,2,4,18.5433631970278,2,0.181818181818182,11,0
"20231116_RoG",0,4,0,3,5,0,0,0,6,20,4,0.768032710203937,4,1,2,0
"20231117_EdR",0,4,0,3,3,1,0,0,0,1,5,0.270728329743494,3,0.4,5,0
"20231117_GuS",0,4,0,4,2,0,0,3,0,0,4,21.7049937028528,4,0.2,1,0
"20231117_JuC",0,4,0,4,2,0,0,2,0,0,4,21.603774398619,4,0.2,1.5,0
"20231117_NeR",1,1,1,1,1,1,1,4,0,100,3,1.03672492654276,2,0.4,1.5,0
"20231117_RuA",0,4,0,2,4,0,0,0,6,1,4,1.25913535194193,3,0.210526315789474,9.5,0
"20231117_SaO",0,4,0,3,3,0,0,2,0,0,4,21.7091547767765,4,0.571428571428571,3.5,1
"20231117_SeV",0,4,0,2,4,0,0,0,2,2,4,0.810121585040665,3,1,2,0
"20231117_ViR",1,1,1,1,2,1,1,4,13,150,3,1.03672492654276,1,0.1,5,1
"20231118_JaS",1,2,1,1,2,1,1,4,4,500,3,0.0799072415811415,1,0.00769230769230769,22,1
"20231118_LuS",0,4,0,3,4,0,0,0,0,50,4,1.57489719149162,3,1,4,0
"20231118_ReS",1,1,1,1,2,1,1,4,6,250,4,0.0799072415811415,1,0.3,5.5,1
"20231120_AdC",0,5,0,5,3,0,0,2,0,0,4,1.46211928070258,5,0.666666666666667,2,0
"20231120_AlR",1,4,0,3,4,0,0,0,2,1,4,1.63549404010615,4,0.125,7,0
"20231120_LuG",0,4,0,3,3,0,0,0,0,2,4,0.338877625634462,5,0.75,4,0
"20231121_AnM",0,4,0,3,3,0,0,2,0,5,4,22.8208452883569,2,0.142857142857143,2,1
"20231121_DaT",1,4,0,1,3,0,0,0,0,2,4,2.9240664021467,2,0.333333333333333,0.5,0
"20231121_DoC",0,4,0,4,2,0,0,2,0,10,4,23.0680673637097,4,0.444444444444444,4,0
"20231121_GlG",0,4,0,4,3,0,1,2,0,10,4,22.9855732032656,4,0.4,5,1
"20231121_HiC",1,2,1,1,2,1,1,4,4,450,3,0.089119854580142,1,0.285714285714286,0,1
"20231121_HiP",0,5,0,3,3,0,0,2,0,10,4,22.8584100191815,4,0.2,1.5,0
"20231121_MaE",0,5,0,5,2,0,0,1,0,5,4,0.944196374228169,5,1,2,0
"20231121_MiF",1,1,1,2,1,1,1,4,0,150,3,1.45130096113362,3,0.0606060606060606,4.9,1
"20231122_AnM",0,4,0,5,3,0,0,2,0,0,4,1.22115210493396,5,0.8,5,0
"20231122_EtM",0,4,0,5,3,0,0,1,0,3,4,1.34866472497174,5,1.5,1,1
"20231122_LeC",1,2,1,1,1,0,1,2,4,150,2,6.55452007804623,2,0.1,1.49,1
"20231122_MeA",1,1,1,1,1,1,1,1,4,5,3,2.46002251425072,3,0.181818181818182,0,1
"20231124_AlL",0,5,0,3,3,0,1,0,0,2,4,2.24249742193676,3,0.25,8,0
"20231124_AnM",0,4,0,5,2,0,0,1,0,2,3,1.74883185426129,5,4,1.5,0
"20231124_EdA",0,2,1,1,2,1,0,2,4,400,3,1.94135073010049,1,0.1,5,0
"20231124_JiR",0,4,0,5,2,0,0,2,0,2,4,1.62832228522473,5,4,1,0
"20231124_MaF",0,4,0,5,2,0,0,2,0,1,5,0.865848003552493,5,2,2,0
"20231124_RoS",1,1,1,1,2,1,1,4,2,30,3,0.823956715631021,2,0.111111111111111,2,1
"20231125_DyR",1,2,1,1,1,1,1,3,4,400,3,1.45130096113362,1,0.0375,6.5,1
"20231125_WiS",1,2,1,1,3,1,1,4,8,400,3,0.269056748549514,1,0.4,0,1
"20231128_DeG",0,4,0,3,2,0,0,0,0,5,4,1.51977689065393,2,3,0.75,0
"20231128_GlM",0,5,0,3,4,0,0,0,0,5,4,0.707795685871577,5,0.333333333333333,4,0
"20231129_LiL",0,4,0,3,4,0,0,0,2,5,4,4.30425417044518,4,0.173913043478261,9.5,0
"20231129_ReA",0,4,0,2,4,0,0,0,0,5,4,12.0621937774704,5,0.111111111111111,5.5,1
"20231204_DaR",0,4,0,5,2,0,0,1,0,2,4,1.005363479767,5,0.666666666666667,3,0
"20231206_DeN",0,4,0,5,3,0,0,2,2,5,4,1.87027532164319,5,0.666666666666667,2,1
"20231206_ElC",0,4,0,5,3,0,0,2,2,5,4,1.80948015946131,5,1.33333333333333,1,0
"20231206_RaT",0,5,0,5,3,0,0,2,0,5,4,1.86688004375971,5,1,2,0
"20231207_EmE",0,4,0,5,2,0,0,2,0,5,4,2.09396599038415,5,0.285714285714286,1,1
"20231207_JoM",0,4,0,5,2,0,0,2,0,5,5,2.19956642823452,5,0.444444444444444,3,1
"20231207_JoM_Ta",0,4,0,5,2,0,0,2,0,5,4,2.20350366982605,5,1,1.5,1
"20231207_JuM",0,4,0,5,2,0,0,2,0,5,4,1.86776008603926,5,0.6,4,0
"20231208_IrN",0,4,0,5,2,0,0,2,0,3,5,1.88978015283534,5,1,2,1
"20231208_LoR",0,4,0,5,2,0,0,2,1,5,4,2.2677731266815,5,1,2,1
"20231208_LuL",0,4,0,5,2,0,0,2,1,5,4,2.1796597504117,5,1.5,1,1
"20231210_JuG",1,2,1,1,2,1,1,5,8,150,2,1.47647940518168,1,0.0833333333333333,6.8,1
"20231211_DiM",0,4,0,3,5,0,0,0,0,1,5,0.821018564150642,4,0.222222222222222,9,0
"20231211_DoF",0,4,0,4,4,0,0,0,0,2,3,0.533767909443467,4,0.166666666666667,11,0
"20231211_NaS",0,4,0,1,4,0,0,0,0,3,4,1.41767846665605,1,0.142857142857143,14,0
"20231212_MaR",0,4,0,3,4,0,0,0,0,2,4,3.063909609723,3,0.4,5,0
"20231213_JaH",1,0,1,1,2,1,1,5,2,200,2,0.53302394633329,1,0.2,2.5,1
"20231213_JoZ",1,2,1,1,1,1,1,3,3,600,4,0.264680139908054,1,0.333333333333333,3,1
"20231215_GrT",1,1,1,1,1,0,1,1,0,300,3,0.859635095466621,1,0,1,0
"20231215_JoS",0,1,1,1,1,1,1,2,4,600,2,0.591313657911801,1,0.2,3.4,1
"20231218_LiG",0,4,0,5,2,0,0,1,0,5,5,1.8910346242464,5,0.666666666666667,1,1
"20231218_MaC",0,4,0,5,2,0,0,2,0,5,5,1.71362210134016,4,0.571428571428571,3,0
"20231221_EsP",0,4,0,5,2,0,0,1,0,5,5,1.43129650662829,5,1.5,3,1
"20231221_MaL",0,4,0,5,2,0,0,1,0,5,4,1.75775333847012,5,1.2,2,0
"20231222_RiJ",0,4,0,4,2,0,0,1,0,50,4,2.06557090931772,5,2,1.5,0
"20231227_LuC",0,4,0,5,2,0,0,2,0,5,4,4.46358670338968,5,1.66666666666667,3,0
"20240107_AmP",0,3,0,4,2,0,0,1,0,5,4,1.9791252492396,5,0.857142857142857,2.5,1
"20240107_EuH",0,4,0,5,2,0,0,1,0,5,4,1.9504798620841,5,0.8,3,0
"20240107_EuJ",0,3,0,4,2,0,0,1,0,20,4,4.32986629438268,5,1.33333333333333,1.5,0
"20240107_MaC",0,4,0,4,2,0,0,2,0,50,4,4.03429094131752,5,1,2,0
"20240108_AsG",0,4,0,5,2,0,0,1,0,20,4,1.9695773919832,5,1.16666666666667,3,0
"20240109_WaS",0,4,0,5,2,0,0,2,0,30,4,1.95068272486413,5,0.571428571428571,2.5,0
"20240110_WiS",0,4,0,4,2,0,0,2,0,20,4,1.97179256374859,4,0.8,2,0
"20240111_SaA",0,5,0,4,2,0,0,1,0,30,4,3.49938219679013,5,1.33333333333333,3,0
"20240118_ElD",1,2,1,1,1,1,1,3,3,300,3,1.76083938609968,1,0.333333333333333,1.5,1
"20240118_NoC",1,2,1,1,1,1,1,1,2,300,3,2.08118429679328,1,0.266666666666667,4,1
"20240124_JuJ",1,2,1,1,2,1,1,4,4,150,3,0.704671566424809,1,0.2,3,1
"20240125_ArR",1,2,1,1,1,1,1,1,4,150,3,0.704671566424809,1,0,3,1
"20240126_RaM",1,2,1,2,1,1,1,3,1,300,4,0.0687835892049262,2,1,0,1
"20240126_WiM",1,2,1,1,1,1,1,3,4,600,3,0.0687835892049262,1,0.307692307692308,2.4,1
"20240212_EsV",0,5,0,2,4,0,0,0,0,5,4,1.47551194651557,2,0.2,10,0
"20240212_JaR",0,5,0,3,4,0,0,0,0,100,4,2.12930279419246,2,0.125,3.5,0
"20240212_JuA",0,4,0,2,4,0,0,0,0,1,4,1.23877641064418,2,0.444444444444444,6,0
"20240213_LeC",0,4,0,3,4,1,0,0,0,1,4,0.27580675723529,4,0.375,8,0
"20240213_PeS",0,5,0,3,4,0,0,0,0,5,4,0.330332648659052,3,0.235294117647059,8.5,0
"20240213_WiM",0,4,0,3,4,0,0,0,0,5,4,0.390286280764204,4,0.4,4.5,0
"20240214_ViG",0,4,0,3,4,0,0,0,0,2,3,0.603415299376428,3,0.19047619047619,10.5,0
"20240216_CaR",0,4,0,4,4,0,0,2,0,0,5,2.49091649538328,5,0.166666666666667,9,0
"20240216_JuC",0,4,0,3,3,0,0,0,0,2,5,3.02921959498596,4,0.5,6.5,0
"20240217_CaA",0,4,0,3,3,0,0,1,0,2,4,2.30257688205033,3,0.333333333333333,9,0
"20240226_DaT",1,2,1,1,1,1,1,4,3,150,3,0.544016987639252,1,0.0666666666666667,0,1
"20240226_JuT",0,3,1,1,1,1,0,2,1,100,3,0.171191170376507,1,0.111111111111111,2.5,0
"20240226_NeT",1,2,1,1,2,0,0,2,0,100,3,0.305517234464164,1,0,0,0
"20240226_WiB",1,2,1,3,1,1,1,3,5,300,4,0.264680139908054,5,0.148148148148148,5,1
"20240227_ElT",1,3,1,1,1,1,0,1,0,3,2,0.043415441187374,1,0,3,0
"20240227_LuP",0,5,0,2,3,0,0,1,0,2,5,2.16481715857877,3,0.125,7,0
"20240227_SeV",1,2,1,1,1,1,0,1,0,100,3,0.0817140394494929,1,0,0,0
"20240228_AlA",1,2,1,1,1,1,0,0,0,100,2,0.129388932059265,1,0.5,0,0
"20240228_DeR",0,4,0,3,4,0,0,2,0,150,4,1.75933637801199,3,0.333333333333333,7,1
"20240228_GlG",0,2,1,1,1,1,0,1,0,100,3,0.121730082091089,1,0,1.5,0
"20240228_GrL",1,2,1,1,1,0,0,2,2,200,3,0.229508401832141,1,0.1,3.5,0
"20240228_LiY",1,2,1,2,1,1,1,4,3,300,3,0.129388932059265,5,0.5,0,1
"20240228_MaS",1,3,1,1,1,1,0,3,1,150,3,1.09592399197144,1,0,2,0
"20240228_SeT",1,2,1,2,2,0,1,4,5,250,3,0.730992784890498,2,0.0333333333333333,0,1
"20240228_SoI",0,4,0,2,3,0,0,1,0,2,4,1.97281304209055,2,0.285714285714286,7,0
"20240229_AnD",1,2,1,1,1,1,1,4,4,300,3,0.0726670335286522,2,0.0833333333333333,3,1
"20240229_AnG",1,2,1,1,1,1,0,0,0,150,3,0.043415441187374,1,0.333333333333333,3,0
"20240229_ArP",0,5,0,3,4,0,0,1,0,5,5,1.62504623867069,2,0.2,10,0
"20240229_GeE",0,2,1,1,1,1,0,3,2,300,3,0.0738906110552394,1,0,1.5,0
"20240229_GiA",0,5,0,3,4,0,0,0,0,10,5,1.65119703434641,4,0.285714285714286,6,0
"20240229_JuA",1,2,1,1,1,0,0,2,2,300,3,0.229508401832141,2,0,0,0
"20240229_LuA",0,5,0,4,5,0,0,1,1,50,5,1.61367640689285,5,0.3,10,0
"20240229_MaY",1,3,1,1,1,1,0,1,1,200,3,0.0726670335286522,1,0.666666666666667,0,0
"20240229_SaC",1,2,1,1,1,1,1,3,4,250,3,0.875782989216363,3,1,0,1
"20240301_AnF",1,2,1,3,1,1,1,3,4,1,4,2.40079812114538,3,0.05,36,1
"20240301_CaG",0,5,0,3,5,0,0,1,0,50,4,1.82722989240172,3,0.16,11,1
"20240301_ElC",0,3,1,1,2,0,0,4,4,250,3,1.49033407449282,1,0.05,8.5,0
"20240301_ErR",0,3,0,4,5,0,0,0,0,50,4,2.46006055892266,4,0.421052631578947,7,0
"20240301_PaN",0,5,0,3,3,0,0,1,0,0,5,2.05512666086674,4,0.4,8,0
"20240301_SiC",0,3,1,2,1,0,0,1,3,50,2,1.49033407449282,3,0.133333333333333,4.5,1
"20240302_ElP",0,3,0,2,4,0,0,0,0,5,4,3.02312838464229,4,0.235294117647059,7.5,0
"20240302_IsV",0,4,0,3,4,0,0,0,0,5,4,2.62224347212512,3,0.333333333333333,5,0
"20240308_AlC",1,2,1,1,1,0,1,5,5,600,3,1.63069613017734,2,0.105263157894737,0,1
"20240309_ClC",1,2,1,2,1,0,1,3,4,400,3,1.63069613017734,2,0.0769230769230769,4,1
"20240309_GrD",0,2,1,1,1,1,1,4,3,300,3,0.366533330993012,2,0.0555555555555556,3,1
"20240310_BeT",0,2,1,1,2,1,1,4,4,600,3,0.0753647962233947,2,0.04,7.5,1
"20240310_FeA",0,2,1,2,1,1,1,4,4,350,3,3.64283152828203,4,0.117647058823529,4,1
"20240310_RoB",1,2,1,2,2,0,1,3,4,600,3,0.0793303573557572,3,0.00666666666666667,5,1
"20240310_SaD",1,2,1,2,2,1,1,3,3,600,3,0.0793303573557572,2,0.0487804878048781,3,1
"20240311_DaC",1,2,1,1,2,0,0,2,0,450,3,0.458067954926122,1,0.0117647058823529,4.5,0
"20240311_HeC",0,3,1,1,1,1,0,1,0,400,3,0.152705150044609,1,0.08,2.5,0
"20240311_IsQ",1,3,1,1,2,0,0,1,0,150,3,0.458067954926122,1,0.0666666666666667,3.5,0
"20240311_JuC",0,2,1,1,2,1,0,3,0,400,3,0.458067954926122,1,0.0285714285714286,7,0
"20240312_EzV",1,2,1,2,1,1,1,4,5,1,3,4.59008337096798,3,0.05,14,1
"20240313_AnG",0,3,1,1,2,0,0,1,2,100,3,1.49034260753733,1,0.1,2.5,1
