"","governance_capacity","social_norm","agroecol_perspective_13","crop_type.cacao","dfs_adoption_binary","distance_main_road","household_shock_recover_capacity","numHA_nhlabour_permanent_total","num_info_exchange_extension","perception_associations_effectiveness","support_provider.cooperatives","training_participation","human_wellbeing_11"
"20231120_AlR",0.119211561884564,-0.571284307625284,4,0,1,1,4,0.125,2,0,0,0,4
"20231120_LuG",0.178977717340182,-0.556465316229262,4,0,0,2,3,0.75,0,0,0,0,4
"20231121_AnM",-0.000320749026673284,-0.813411072615727,4,0,0,5,3,0.142857142857143,0,2,0,1,4
"20231121_DaT",-1.22018111875563,-0.586011363779368,4,0,1,2,3,0.333333333333333,0,0,0,0,4
"20231121_DoC",0.729141746749042,-0.816236566544903,4,0,0,10,2,0.444444444444444,0,2,0,0,4
"20231121_GlG",0.729141746749042,-0.815293743177715,4,0,0,10,3,0.4,0,2,1,1,4
"20231121_HiC",-1.27994727421125,1.64415005592674,2,1,1,450,2,0.285714285714286,4,4,1,1,3
"20231121_HiP",0.119211561884564,-0.813840398834854,5,0,0,10,3,0.2,0,2,0,0,4
"20231121_MaE",1.39883808706914,-0.563383486651249,5,0,0,5,2,1,0,1,0,0,4
"20231121_MiF",-0.550484778435533,1.62858172756645,1,1,1,150,1,0.0606060606060606,0,4,1,1,3
"20231122_AnM",1.39883808706914,-0.566548805665108,4,0,0,0,3,0.8,0,2,0,0,4
"20231122_EtM",1.39883808706914,-0.568006143701349,4,0,0,3,3,1.5,0,1,0,1,4
"20231122_LeC",-1.22018111875563,-0.627503713549391,2,1,1,150,1,0.1,4,2,1,1,2
"20231122_MeA",-1.16041496330001,1.61705307819121,1,1,1,5,1,0.181818181818182,4,1,1,1,3
"20231124_AlL",0.0594454064289452,-0.578221731671678,5,0,0,2,3,0.25,0,0,1,0,4
"20231124_AnM",1.39883808706914,-0.572579642216196,4,0,0,2,2,4,0,1,0,0,3
"20231124_EdA",-1.27994727421125,1.62298096296954,2,1,0,400,2,0.1,4,2,0,0,3
"20231124_JiR",1.39883808706914,-0.571202341846743,4,0,0,2,2,4,0,2,0,0,4
"20231124_MaF",1.39883808706914,-0.562488045395087,4,0,0,1,2,2,0,2,0,0,5
"20231124_RoS",-1.22018111875563,1.63575162675381,1,1,1,30,2,0.111111111111111,2,4,1,1,3
"20231125_DyR",-1.27994727421125,1.62858172756645,2,1,1,400,1,0.0375,4,3,1,1,3
"20231125_WiS",-1.27994727421125,1.64209356238416,2,1,1,400,3,0.4,8,4,1,1,3
"20231128_DeG",-0.000320749026673284,-0.569961779680269,4,0,0,5,2,3,0,0,0,0,4
"20231128_GlM",0.178977717340182,-0.560681670040207,5,0,0,5,4,0.333333333333333,0,0,0,0,4
"20231129_LiL",0.119211561884564,-0.601785489754508,4,0,0,5,4,0.173913043478261,2,0,0,0,4
"20231129_ReA",-0.430952467524296,-0.69045075652441,4,0,0,5,4,0.111111111111111,0,0,0,1,4
"20231204_DaR",1.39883808706914,-0.56408256372646,4,0,0,2,2,0.666666666666667,0,1,0,0,4
"20231206_DeN",1.39883808706914,-0.573967616082753,4,0,0,5,3,0.666666666666667,2,2,0,1,4
"20231206_ElC",1.39883808706914,-0.573272789937381,4,0,0,5,3,1.33333333333333,2,2,0,0,4
"20231206_RaT",1.39883808706914,-0.573928811550294,5,0,0,5,3,1,0,2,0,0,4
"20231207_EmE",1.39883808706914,-0.57652417024823,4,0,0,5,2,0.285714285714286,0,2,0,1,4
"20231207_JoM",1.39883808706914,-0.577731074589756,4,0,0,5,2,0.444444444444444,0,2,0,1,5
"20231207_JoM_Ta",1.39883808706914,-0.577776073209717,4,0,0,5,2,1,0,2,0,1,4
"20231207_JuM",1.39883808706914,-0.573938869527984,4,0,0,5,2,0.6,0,2,0,0,4
"20231208_IrN",1.39883808706914,-0.574190536232762,4,0,0,3,2,1,0,2,0,1,5
"20231208_LoR",1.39883808706914,-0.57851060696815,4,0,0,5,2,1,1,2,0,1,4
"20231208_LuL",1.39883808706914,-0.577503561746261,4,0,0,5,2,1.5,1,2,0,1,4
"20231210_JuG",-1.27994727421125,1.62829396385966,2,1,1,150,2,0.0833333333333333,8,5,1,1,2
"20231211_DiM",0.119211561884564,-0.561975691032324,4,0,0,1,5,0.222222222222222,0,0,0,0,5
"20231211_DoF",0.729141746749042,-0.558692711630631,4,0,0,2,4,0.166666666666667,0,0,0,0,3
"20231211_NaS",-1.27994727421125,-0.568794899753496,4,0,0,3,4,0.142857142857143,0,0,0,0,4
"20231212_MaR",0.0594454064289452,-0.58760962774297,4,0,0,2,4,0.4,0,0,0,0,4
"20231213_JaH",-1.27994727421125,1.63907668893637,0,1,1,200,2,0.2,2,5,1,1,2
"20231213_JoZ",-1.27994727421125,1.64214358251739,2,1,1,600,1,0.333333333333333,3,3,1,1,4
"20231215_GrT",-1.27994727421125,-0.562417038248763,1,1,1,300,1,0,0,1,1,0,3
"20231215_JoS",-1.27994727421125,1.63841049751328,1,1,0,600,1,0.2,4,2,1,1,2
"20231218_LiG",1.39883808706914,-0.574204873550136,4,0,0,5,2,0.666666666666667,0,1,0,1,5
"20231218_MaC",1.33907193161352,-0.572177230971228,4,0,0,5,2,0.571428571428571,0,2,0,0,5
"20231221_EsP",1.39883808706914,-0.568950539937383,4,0,0,5,2,1.5,0,1,0,1,5
"20231221_MaL",1.39883808706914,-0.572681605600475,4,0,0,5,2,1.2,0,1,0,0,4
"20231222_RiJ",0.78890790220466,-0.576199643690247,4,0,0,50,2,2,0,1,0,0,4
"20231227_LuC",1.39883808706914,-0.603606496652506,4,0,0,5,2,1.66666666666667,0,2,0,0,4
"20240107_AmP",0.78890790220466,-0.575211658748344,3,0,0,5,2,0.857142857142857,0,1,0,1,4
"20240107_EuH",1.39883808706914,-0.574884271449329,4,0,0,5,2,0.8,0,1,0,0,4
"20240107_EuJ",0.78890790220466,-0.602078209976176,3,0,0,20,2,1.33333333333333,0,1,0,0,4
"20240107_MaC",0.78890790220466,-0.598700087838386,4,0,0,50,2,1,0,2,0,0,4
"20240108_AsG",1.39883808706914,-0.575102536564672,4,0,0,20,2,1.16666666666667,0,1,0,0,4
"20240109_WaS",1.39883808706914,-0.574886589962158,4,0,0,30,2,0.571428571428571,0,2,0,0,4
"20240110_WiS",0.729141746749042,-0.575127853698533,4,0,0,20,2,0.8,0,2,0,0,4
"20240111_SaA",0.78890790220466,-0.592586631310815,5,0,0,30,2,1.33333333333333,0,1,0,0,4
"20240118_ElD",-1.27994727421125,1.62504402188486,2,1,1,300,1,0.333333333333333,3,3,1,1,3
"20240118_NoC",-1.27994727421125,1.62138280919131,2,1,1,300,1,0.266666666666667,2,1,1,1,3
"20240124_JuJ",-1.27994727421125,1.63711493326454,2,1,1,150,2,0.2,4,4,1,1,3
