main_crops_common_names,scientific_name,production unit,conversion factor (to convert to kilograms),max yields in database (production_unit/ha),locally attainable yields (kg/ha) - WATER-LIMITED (RAINFED),locally attainable yields (kg/ha) -  (IRRIGATED),yield data source,max fertilizers in database (kg/ha),locally recommended fertilizer applications - RAINFED (kg/ha),locally recommended fertilizer applications - IRRIGATED (kg/ha),fertilizer data source,average national annual income (in local currency),income data source,yield_conversion_unit_to_kg,yield_ref_rainfed_clean,yield_ref_irr_clean,nut_ref_rainfed_clean,nut_ref_irr_clean,income_ref_clean,currency_local,currency_exchange_local_to_usd,exchange_rate_source
Groundnuts,,Bucket (20 litres) Unshelled,7,7.413155,2500,,https://oar.icrisat.org/9462/1/Groundnut-Value-Chains-in-Zimbabwe.pdf,,450,,Gatien Falconnier 11/10/2033,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,7,2500,,450,,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
Groundnuts,,Kilograms,1,14826.31,2500,,https://oar.icrisat.org/9462/1/Groundnut-Value-Chains-in-Zimbabwe.pdf,,450,,Gatien Falconnier 11/10/2034,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,1,2500,,450,,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
Maize,,Kilograms,1,27456.13,6000,9200,"Zingore, S., Murwira, H.K., Delve, R.J., Giller, K.E., 2007. Influence of nutrient management strategies on variability of soil fertility, crop yields and nutrient balances on smallholder farms in Zimbabwe. Agriculture, Ecosystems & Environment 119, 112–126. 2); Masuka, B., Atlin, G.N., Olsen, M., Magorokosho, C., Labuschagne, M., Crossa, J., Bänziger, M., Pixley, K.V., Vivek, B.S., von Biljon, A., Macrobert, J., Alvarado, G., Prasanna, B. m., Makumbi, D., Tarekegne, A., Das, B., Zaman-Allah, M., Cairns, J.E., 2017. Gains in Maize Genetic Improvement in Eastern and Southern Africa: I. CIMMYT Hybrid Breeding Pipeline. Crop Science 57",,800,800,Gatien Falconnier 11/10/2035,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,1,6000,9200,800,800,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
Mango,,Kilograms,1,55598.66,NA,85000,https://cfuzim.org/award-winning-mango-producer-says-100t-ha-is-possible/,,NA,NA,Gatien Falconnier 11/10/2036,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,1,,85000,,,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
Masau,,Kilograms,1,49421.03,1000,,"Maposa, M., Chisuro, D. (1998). Importance of Ziziphus mauritiana (masau) in the Mukumbura
area of Zimbabwe- From a farmer's and extensionist's point of view. In: International Workshop
on Ziziphus mauritiana. Harare, Zimbabwe",,0,,Gatien Falconnier 11/10/2037,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,1,1000,,0,,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
Millet,,Kilograms,1,247.1052,3200,,https://lfspzwcom.wordpress.com/wp-content/uploads/2017/05/training-manual-small-grains-with-page-numbers.pdf,,550,,Gatien Falconnier 11/10/2038,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,1,3200,,550,,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
None,,Bucket (20 litres),,1853.289,,,,,,,Gatien Falconnier 11/10/2039,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,0,,,,,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
Onion,,Kilograms,1,32947.36,NA,112000,https://www.starkeayres.com/news/irati-onion-has-the-bit-between-its-teeth-in-zimbabwe,,,1000,Gatien Falconnier 11/10/2040,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,1,,112000,,1000,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
Peaches,,Kilograms,1,2471.052,NA,NA,,,NA,,Gatien Falconnier 11/10/2041,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,1,,,,,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
Pepper,,Kilograms,1,138.9967,NA,90000,https://seedcogroup.com/bw/vegetables/wp-content/uploads/2021/12/pepper.pdf,,,750,Gatien Falconnier 11/10/2042,13569,https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=ZW,1,,90000,,750,13569,ZWG,0.0392638,https://www.xe.com/currencycharts/?from=ZWG&to=USD
